index,gloss
0,computer
1,clothes
2,candy
3,walk
4,yes
5,many
6,now
7,orange
8,table
9,thanksgiving
10,shirt
11,doctor
12,soon
13,drink
14,chair
15,go
16,cousin
17,deaf
18,fine
19,help
20,year
21,black
22,finish
23,hot
24,like
25,bed
26,blue
27,can
28,dog
29,fish
30,graduate
31,hearing
32,kiss
33,tall
34,wrong
35,accident
36,apple
37,bird
38,change
39,dance
40,dark
41,enjoy
42,last
43,meet
44,pink
45,work
46,basketball
47,city
48,decide
49,full
50,how
51,letter
52,medicine
53,visit
54,water
55,cat
56,class
57,different
58,door
59,have
60,learn
61,rabbit
62,room
63,show
64,snow
65,tea
66,teacher
67,with
68,bad
69,ball
70,buy
71,coffee
72,daughter
73,name
74,police
75,problem
76,remember
77,test
78,travel
79,arrive
80,banana
81,day
82,drive
83,football
84,game
85,government
86,most
87,new
88,none
89,pencil
90,plan
91,president
92,small
93,south
94,student
95,theory
96,always
97,bake
98,champion
99,cough
